Month;Group;Sports;Result type;Bet slip count 1;No. of bets 1;Bet count;Cancelled;Payback;Won;Total stake;Profit;profit-rate;Bonus;Paid out;Theoretic margin
ene-21;Football - England - Premier League;Football;Who scores next ?;260;284;443;3,80 €;0,00 €;1.615,37 €;1.317,82 €;-297,55 €;-22.58% ;0,82 €;1.616,18 €;23,70 €  /  216,73 €  ( 10.93% )
ene-21;Football - France - Ligue 1;Football;Double chance;239;256;1504;2,06 €;77,42 €;1.710,02 €;3.718,38 €;1.930,94 €;53.03%;9,37 €;1.796,81 €;370,95 €  /  3.464,19 €  ( 10.71% )
ene-21;Football - France - Ligue 1;Football;Goal scorer;4;4;14;0,00 €;0,00 €;0,00 €;6,72 €;6,72 €;100.00%;0,00 €;0,00 €;1,38 €  /  5,29 €  ( 26.12% )
ene-21;Football - France - Ligue 1;Football;Draw no bet;28;37;88;0,00 €;9,56 €;124,24 €;235,74 €;101,95 €;45.07%;0,18 €;133,98 €;17,83 €  /  140,40 €  ( 12.70% )
ene-21;Football - France - Ligue 1;Football;Who scores next ?;46;53;117;2,39 €;0,00 €;157,97 €;156,07 €;-1,90 €;-1.22% ;0,19 €;158,16 €;1,38 €  /  7,11 €  ( 19.46% )
ene-21;Football - France - Ligue 1;Football;Even/Odd?;1;1;2;0,00 €;0,00 €;91,21 €;73,42 €;-17,78 €;-24.22% ;0,00 €;91,21 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - France - Ligue 1;Football;More/less rest of half;13;14;23;0,00 €;0,00 €;55,12 €;108,75 €;53,62 €;49.31%;0,00 €;55,12 €;0,00 €  /  0,00 €  ( 0.00% )
ene-21;Football - France - Ligue 1;Football;Match Result & Both teams to score;25;29;96;0,00 €;0,00 €;29,91 €;50,78 €;20,86 €;41.09%;0,00 €;29,91 €;8,54 €  /  44,59 €  ( 19.14% )
ene-21;Football - France - Ligue 1;Football;Does the specified team score in both halves?;2;2;8;0,00 €;0,00 €;0,00 €;6,42 €;6,42 €;100.00%;0,00 €;0,00 €;1,71 €  /  6,42 €  ( 26.59% )
ene-21;Football - France - Ligue 1;Football;Over/Under and match bet;13;14;87;0,00 €;0,00 €;2,71 €;14,53 €;11,82 €;81.37%;0,14 €;2,84 €;4,66 €  /  14,53 €  ( 32.09% )
